                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0792,                 2.5379,                  1.555,                0.00333,                      1,                0.01421,                0.00368,                 2.6454,                 3.9251,                 3.3491,                      0,                      0,                      0
                      2,                 1.4867,                 2.6871,                 1.8802,                0.00333,                      1,                0.03689,                  0.008,                 2.5201,                  3.395,                  3.202,             1.9802e-05,             1.9802e-05,             1.9802e-05
                      3,                0.68334,                   1.87,                 1.2451,                0.74149,                0.96597,                 0.9125,                0.25161,                 2.2151,                 2.3061,                 3.1301,             3.9208e-05,             3.9208e-05,             3.9208e-05
                      4,                0.86274,                 1.4431,                 1.3666,                0.94474,                      1,                  0.995,                0.52133,                 1.8435,                 4.3432,                 3.1336,             5.8218e-05,             5.8218e-05,             5.8218e-05
                      5,                0.55145,                 1.5387,                 1.0724,                0.97924,                      1,                  0.995,                0.53107,                 1.7931,                  3.382,                 3.2801,             7.6832e-05,             7.6832e-05,             7.6832e-05
                      6,                0.58864,                0.88156,                0.98997,                0.98288,                      1,                  0.995,                0.58082,                 1.7699,                 1.2816,                 3.4125,              9.505e-05,              9.505e-05,              9.505e-05
                      7,                0.83055,                0.95232,                 1.3571,                0.98308,                      1,                  0.995,                0.58661,                 1.7279,                 1.2169,                 3.5456,             0.00011287,             0.00011287,             0.00011287
                      8,                0.75723,                0.89363,                 1.3883,                 0.7091,                      1,                  0.995,                 0.5536,                 1.7464,                 2.8658,                 3.5617,              0.0001303,              0.0001303,              0.0001303
                      9,                0.55545,                0.79841,                 1.0334,                0.41207,                      1,                 0.9125,                0.50692,                 1.8173,                 6.5359,                 3.6464,             0.00014733,             0.00014733,             0.00014733
                     10,                0.54594,                0.94353,                0.99494,                      1,                0.33333,                  0.755,                0.41104,                 1.8783,                 7.3065,                 3.4807,             0.00016396,             0.00016396,             0.00016396
                     11,                0.58562,                 1.1557,                 1.1111,                  0.387,                0.63779,                0.31344,                0.12793,                 1.7139,                    3.4,                 2.7063,              0.0001802,              0.0001802,              0.0001802
                     12,                0.49159,                0.91626,                0.96124,                0.00333,                      1,                0.01551,                0.00447,                 1.7794,                 3.5933,                 3.2342,             0.00019604,             0.00019604,             0.00019604
                     13,                0.63696,                0.79116,                 1.1176,                0.00333,                      1,                0.01368,                0.00374,                 2.4293,                 3.6874,                 3.4307,             0.00021149,             0.00021149,             0.00021149
                     14,                0.65035,                 1.3115,                 1.1872,                0.11111,                0.33333,                0.05375,                0.01122,                 2.8876,                 9.4708,                 4.2249,             0.00022654,             0.00022654,             0.00022654
                     15,                0.71331,                0.88363,                 1.0068,                0.05484,                0.33333,                0.18531,                0.01921,                 4.5265,                 40.387,                 5.0132,             0.00024119,             0.00024119,             0.00024119
                     16,                0.61493,                 1.4455,                 1.0865,                 0.0402,                0.33333,                0.02275,                0.00496,                 4.8911,                 12.249,                 6.0373,             0.00025545,             0.00025545,             0.00025545
                     17,                0.67834,                 1.3823,                  1.215,                0.15404,                0.33333,                 0.1066,                0.01156,                 4.5968,                 11.008,                 6.2333,             0.00026931,             0.00026931,             0.00026931
                     18,                0.41298,                 0.9664,                0.87512,                0.15404,                0.33333,                 0.1066,                0.01156,                 4.5968,                 11.008,                 6.2333,             0.00028278,             0.00028278,             0.00028278
                     19,                 0.7392,                 1.1768,                 1.2572,                0.12243,                0.33333,                0.10862,                0.02434,                  3.779,                 13.477,                  5.027,             0.00029585,             0.00029585,             0.00029585
                     20,                0.68464,                0.91733,                 1.2787,                0.12243,                0.33333,                0.10862,                0.02434,                  3.779,                 13.477,                  5.027,             0.00030852,             0.00030852,             0.00030852
                     21,                0.60637,                0.84546,                 1.0822,                      1,                0.33333,                0.73571,                0.15268,                 2.7097,                 34.435,                 4.6693,              0.0003208,              0.0003208,              0.0003208
                     22,                0.64103,                0.73294,                0.96069,                      1,                0.33333,                0.73571,                0.15268,                 2.7097,                 34.435,                 4.6693,             0.00033268,             0.00033268,             0.00033268
                     23,                 0.5005,                 1.0198,                 1.0809,                0.66667,                0.66667,                  0.654,                0.17101,                 2.4273,                 45.399,                 5.0885,             0.00034417,             0.00034417,             0.00034417
                     24,                0.84496,                 1.5318,                 1.2343,                0.66667,                0.66667,                  0.654,                0.17101,                 2.4273,                 45.399,                 5.0885,             0.00035526,             0.00035526,             0.00035526
                     25,                0.72924,                0.92646,                 1.2117,                      1,                      1,                  0.995,                 0.4016,                 2.3154,                 36.448,                 4.6319,             0.00036595,             0.00036595,             0.00036595
                     26,                0.67903,                 1.7567,                 1.1847,                      1,                      1,                  0.995,                 0.4016,                 2.3154,                 36.448,                 4.6319,             0.00037625,             0.00037625,             0.00037625
                     27,                0.70119,                 1.1641,                 1.2416,                0.14926,                      1,                0.55211,                0.15445,                 2.0518,                 19.156,                  3.948,             0.00038615,             0.00038615,             0.00038615
                     28,                0.83394,                 1.2876,                 1.3503,                0.14926,                      1,                0.55211,                0.15445,                 2.0518,                 19.156,                  3.948,             0.00039566,             0.00039566,             0.00039566
                     29,                0.61541,                0.89351,                  1.115,                0.10068,                      1,                  0.995,                0.44481,                 1.7923,                 15.527,                 3.9412,             0.00040477,             0.00040477,             0.00040477
                     30,                0.91821,                  1.268,                  1.332,                0.10068,                      1,                  0.995,                0.44481,                 1.7923,                 15.527,                 3.9412,             0.00041348,             0.00041348,             0.00041348
                     31,                 1.3246,                 1.1499,                 1.3901,                      1,                0.66667,                  0.764,                0.54861,                 1.5539,                 22.206,                 3.4581,              0.0004218,              0.0004218,              0.0004218
                     32,                 1.1973,                 1.2479,                 1.4456,                      1,                0.66667,                  0.764,                0.54861,                 1.5539,                 22.206,                 3.4581,             0.00042972,             0.00042972,             0.00042972
                     33,                  1.087,                  1.211,                 1.2663,                      1,                      1,                  0.995,                0.63054,                  1.572,                 44.918,                 4.5445,             0.00043725,             0.00043725,             0.00043725
                     34,                 0.8631,                0.91546,                 1.2622,                      1,                      1,                  0.995,                0.63054,                  1.572,                 44.918,                 4.5445,             0.00044438,             0.00044438,             0.00044438
                     35,                0.98367,                 1.1162,                 1.3555,                  0.375,                      1,                  0.665,                0.41057,                 1.7964,                 69.964,                 5.7855,             0.00045111,             0.00045111,             0.00045111
                     36,                 1.0181,                  1.035,                 1.2642,                  0.375,                      1,                  0.665,                0.41057,                 1.7964,                 69.964,                 5.7855,             0.00045745,             0.00045745,             0.00045745
                     37,                 1.0064,                 1.4996,                 1.3489,                0.21429,                      1,                  0.533,                0.11106,                 2.5714,                 131.63,                  5.275,             0.00046339,             0.00046339,             0.00046339
                     38,                0.85039,                 1.3637,                 1.4259,                0.21429,                      1,                  0.533,                0.11106,                 2.5714,                 131.63,                  5.275,             0.00046894,             0.00046894,             0.00046894
                     39,                0.77908,                0.84641,                 1.1043,                0.16667,                0.33333,                0.27667,                0.13609,                 1.7513,                 82.192,                 3.2154,             0.00047409,             0.00047409,             0.00047409
                     40,                 0.8716,                 1.2911,                 1.3444,                0.16667,                0.33333,                0.27667,                0.13609,                 1.7513,                 82.192,                 3.2154,             0.00047884,             0.00047884,             0.00047884
                     41,                0.98792,                0.94947,                 1.3128,                   0.25,                0.33333,                0.19375,                0.09253,                 1.7115,                  73.62,                 2.7941,              0.0004832,              0.0004832,              0.0004832
                     42,                 1.0229,                 1.1968,                 1.3702,                   0.25,                0.33333,                0.19375,                0.09253,                 1.7115,                  73.62,                 2.7941,             0.00048716,             0.00048716,             0.00048716
                     43,                  0.813,                0.86511,                  1.245,                    0.2,                0.33333,                0.24875,                0.10245,                   1.77,                 81.099,                 2.9396,             0.00049073,             0.00049073,             0.00049073
                     44,                0.72025,                0.94994,                 1.2068,                    0.2,                0.33333,                0.24875,                0.10245,                   1.77,                 81.099,                 2.9396,              0.0004939,              0.0004939,              0.0004939
                     45,                 1.0297,                 1.4873,                 1.5498,                    0.4,                0.66667,                0.64143,                0.26246,                 2.0498,                 73.798,                  3.683,             0.00049667,             0.00049667,             0.00049667
                     46,                0.96662,                   1.34,                 1.3538,                    0.4,                0.66667,                0.64143,                0.26246,                 2.0498,                 73.798,                  3.683,             0.00049905,             0.00049905,             0.00049905
                     47,                0.77662,                   1.15,                 1.0741,                0.33333,                0.33333,                0.47643,                0.13188,                 2.4902,                 76.961,                 5.2067,             0.00050103,             0.00050103,             0.00050103
                     48,                0.95037,                0.82715,                 1.0928,                0.33333,                0.33333,                0.47643,                0.13188,                 2.4902,                 76.961,                 5.2067,             0.00050262,             0.00050262,             0.00050262
                     49,                 1.2618,                0.99605,                 1.8213,                0.01798,                0.33333,                0.00967,                0.00379,                 3.8456,                 110.41,                 14.576,             0.00050381,             0.00050381,             0.00050381
                     50,                0.99265,                 1.2128,                 1.4949,                0.01798,                0.33333,                0.00967,                0.00379,                 3.8456,                 110.41,                 14.576,              0.0005046,              0.0005046,              0.0005046
                     51,                 1.2107,                  1.488,                 1.3829,                    0.2,                0.33333,                 0.3403,                0.04109,                 4.1894,                 99.259,                  16.39,               0.000505,               0.000505,               0.000505
                     52,                 1.0216,                  1.207,                  1.249,                    0.2,                0.33333,                 0.3403,                0.04109,                 4.1894,                 99.259,                  16.39,               0.000505,               0.000505,               0.000505
                     53,                  1.164,                 1.1309,                  1.534,                    0.2,                0.33333,                 0.3403,                0.04109,                 4.1894,                 99.259,                  16.39,             0.00050461,             0.00050461,             0.00050461
                     54,                0.81265,                 1.0355,                 1.2048,                    0.4,                0.66667,                0.26847,                 0.0676,                 2.9451,                 90.518,                 8.0744,             0.00050382,             0.00050382,             0.00050382
                     55,                 1.0788,                0.96549,                 1.3719,                    0.4,                0.66667,                0.26847,                 0.0676,                 2.9451,                 90.518,                 8.0744,             0.00050263,             0.00050263,             0.00050263
                     56,                 1.2488,                 1.2936,                 1.4155,                    0.4,                0.66667,                0.26847,                 0.0676,                 2.9451,                 90.518,                 8.0744,             0.00050105,             0.00050105,             0.00050105
                     57,                0.76887,                0.91016,                 1.1305,                0.04431,                      1,                0.05508,                0.01198,                 2.7685,                 137.53,                 8.2128,             0.00049907,             0.00049907,             0.00049907
                     58,                 1.1253,                 1.1248,                 1.3252,                0.04431,                      1,                0.05508,                0.01198,                 2.7685,                 137.53,                 8.2128,              0.0004967,              0.0004967,              0.0004967
                     59,                 1.1529,                 1.1714,                 1.4238,                0.04431,                      1,                0.05508,                0.01198,                 2.7685,                 137.53,                 8.2128,             0.00049393,             0.00049393,             0.00049393
                     60,                 1.1004,                 1.1295,                 1.4049,                0.05056,                0.66667,                0.06787,                0.01009,                 3.3304,                 44.873,                 8.8549,             0.00049076,             0.00049076,             0.00049076
                     61,                0.95315,                0.75183,                 1.1155,                0.05056,                0.66667,                0.06787,                0.01009,                 3.3304,                 44.873,                 8.8549,              0.0004872,              0.0004872,              0.0004872
                     62,                0.75512,                 1.0945,                0.94786,                0.05056,                0.66667,                0.06787,                0.01009,                 3.3304,                 44.873,                 8.8549,             0.00048324,             0.00048324,             0.00048324
                     63,                 1.0666,                 1.6808,                 1.2917,                0.06935,                0.66667,                0.08356,                0.01885,                 2.9934,                 41.831,                  10.67,             0.00047889,             0.00047889,             0.00047889
                     64,                 1.2689,                0.84792,                 1.3532,                0.06935,                0.66667,                0.08356,                0.01885,                 2.9934,                 41.831,                  10.67,             0.00047414,             0.00047414,             0.00047414
                     65,                 2.0151,                 1.5226,                 2.4751,                0.06935,                0.66667,                0.08356,                0.01885,                 2.9934,                 41.831,                  10.67,             0.00046899,             0.00046899,             0.00046899
                     66,                 1.1834,                0.85343,                 1.1862,                      1,                0.33333,                0.69643,                0.13839,                 2.4684,                  82.84,                 8.5503,             0.00046345,             0.00046345,             0.00046345
                     67,                 1.0153,                0.88983,                 1.3429,                      1,                0.33333,                0.69643,                0.13839,                 2.4684,                  82.84,                 8.5503,             0.00045751,             0.00045751,             0.00045751
                     68,                0.73973,                0.73727,                 1.0997,                      1,                0.33333,                0.69643,                0.13839,                 2.4684,                  82.84,                 8.5503,             0.00045118,             0.00045118,             0.00045118
                     69,                0.93856,                 1.0436,                 1.2447,                0.07426,                      1,                0.49833,                0.14053,                 2.3678,                 60.974,                 7.6497,             0.00044445,             0.00044445,             0.00044445
                     70,                0.98605,                0.98344,                 1.3952,                0.07426,                      1,                0.49833,                0.14053,                 2.3678,                 60.974,                 7.6497,             0.00043732,             0.00043732,             0.00043732
                     71,                0.87389,                0.81711,                 1.2448,                0.07426,                      1,                0.49833,                0.14053,                 2.3678,                 60.974,                 7.6497,              0.0004298,              0.0004298,              0.0004298
                     72,                 1.1312,                0.95587,                 1.3174,                0.12555,                      1,                   0.72,                0.21736,                  2.121,                 32.306,                 6.2717,             0.00042188,             0.00042188,             0.00042188
                     73,                 1.3156,                0.80141,                 1.4116,                0.12555,                      1,                   0.72,                0.21736,                  2.121,                 32.306,                 6.2717,             0.00041357,             0.00041357,             0.00041357
                     74,                 0.8104,                0.91334,                 1.4282,                0.12555,                      1,                   0.72,                0.21736,                  2.121,                 32.306,                 6.2717,             0.00040486,             0.00040486,             0.00040486
                     75,                 0.9299,                0.89906,                 1.4657,                0.11349,                      1,                0.23542,                0.07035,                 2.3177,                 25.282,                 5.4474,             0.00039575,             0.00039575,             0.00039575
                     76,                 1.1435,                0.95978,                 1.6569,                0.11349,                      1,                0.23542,                0.07035,                 2.3177,                 25.282,                 5.4474,             0.00038625,             0.00038625,             0.00038625
                     77,                0.92683,                 1.0112,                 1.4062,                0.11349,                      1,                0.23542,                0.07035,                 2.3177,                 25.282,                 5.4474,             0.00037635,             0.00037635,             0.00037635
                     78,                0.77623,                0.78253,                  1.182,                0.08502,                      1,                0.17804,                0.06198,                 2.2658,                 26.547,                 5.1215,             0.00036606,             0.00036606,             0.00036606
                     79,                0.90383,                0.74755,                  1.036,                0.08502,                      1,                0.17804,                0.06198,                 2.2658,                 26.547,                 5.1215,             0.00035537,             0.00035537,             0.00035537
                     80,                0.86614,                0.72457,                  1.066,                0.08502,                      1,                0.17804,                0.06198,                 2.2658,                 26.547,                 5.1215,             0.00034428,             0.00034428,             0.00034428
                     81,                0.71289,                0.98952,                 1.3387,                0.07061,                      1,                0.08258,                0.02638,                 2.4586,                 31.331,                 4.7518,              0.0003328,              0.0003328,              0.0003328
                     82,                0.94482,                0.84943,                 1.2258,                0.07061,                      1,                0.08258,                0.02638,                 2.4586,                 31.331,                 4.7518,             0.00032092,             0.00032092,             0.00032092
                     83,                0.89846,                0.74461,                 1.1779,                0.07061,                      1,                0.08258,                0.02638,                 2.4586,                 31.331,                 4.7518,             0.00030865,             0.00030865,             0.00030865
                     84,                0.97671,                 1.0027,                 1.4093,                0.04976,                      1,                0.05088,                0.01518,                 2.7851,                 21.617,                 3.8301,             0.00029598,             0.00029598,             0.00029598
                     85,                0.86787,                0.75447,                 1.2914,                0.04976,                      1,                0.05088,                0.01518,                 2.7851,                 21.617,                 3.8301,             0.00028291,             0.00028291,             0.00028291
                     86,                0.72893,                0.90152,                 1.2017,                0.04976,                      1,                0.05088,                0.01518,                 2.7851,                 21.617,                 3.8301,             0.00026945,             0.00026945,             0.00026945
                     87,                 1.0258,                 1.0692,                   1.26,                0.04976,                      1,                0.05088,                0.01518,                 2.7851,                 21.617,                 3.8301,             0.00025559,             0.00025559,             0.00025559
                     88,                0.98648,                 1.0214,                 1.3857,                0.04107,                      1,                0.04326,                0.01798,                 2.3652,                 16.792,                 2.7622,             0.00024134,             0.00024134,             0.00024134
                     89,                0.94992,                0.72857,                  1.211,                0.04107,                      1,                0.04326,                0.01798,                 2.3652,                 16.792,                 2.7622,             0.00022669,             0.00022669,             0.00022669
                     90,                 1.2006,                 1.0187,                 1.5435,                0.04107,                      1,                0.04326,                0.01798,                 2.3652,                 16.792,                 2.7622,             0.00021164,             0.00021164,             0.00021164
                     91,                0.69205,                0.88034,                 1.3297,                0.04107,                      1,                0.04326,                0.01798,                 2.3652,                 16.792,                 2.7622,              0.0001962,              0.0001962,              0.0001962
                     92,                0.66364,                0.79093,                 1.1104,                0.06484,                      1,                0.08097,                0.04898,                 1.7242,                 11.796,                 2.3926,             0.00018036,             0.00018036,             0.00018036
                     93,                0.66203,                0.96293,                 1.0454,                0.06484,                      1,                0.08097,                0.04898,                 1.7242,                 11.796,                 2.3926,             0.00016413,             0.00016413,             0.00016413
                     94,                0.71014,                0.79641,                 1.2735,                0.06484,                      1,                0.08097,                0.04898,                 1.7242,                 11.796,                 2.3926,              0.0001475,              0.0001475,              0.0001475
                     95,                0.89082,                0.98646,                 1.4067,                0.06484,                      1,                0.08097,                0.04898,                 1.7242,                 11.796,                 2.3926,             0.00013047,             0.00013047,             0.00013047
                     96,                0.59151,                 0.7346,                 1.0857,                0.35111,                0.33333,                0.42423,                0.31235,                 1.8823,                 5.4707,                 2.9961,             0.00011305,             0.00011305,             0.00011305
                     97,                0.66207,                0.79418,                 1.0954,                0.35111,                0.33333,                0.42423,                0.31235,                 1.8823,                 5.4707,                 2.9961,             9.5232e-05,             9.5232e-05,             9.5232e-05
                     98,                 0.6256,                0.72716,                 1.0888,                0.35111,                0.33333,                0.42423,                0.31235,                 1.8823,                 5.4707,                 2.9961,             7.7018e-05,             7.7018e-05,             7.7018e-05
                     99,                 1.5107,                 1.0012,                 1.9301,                0.35111,                0.33333,                0.42423,                0.31235,                 1.8823,                 5.4707,                 2.9961,             5.8408e-05,             5.8408e-05,             5.8408e-05
                    100,                0.56977,                0.69221,                0.87115,                0.38824,                0.66667,                0.59308,                0.38513,                 1.7476,                 3.8024,                  3.153,             3.9402e-05,             3.9402e-05,             3.9402e-05
